"Objectcode","Object","Categorie","Type","","Datering","Land van herkomst","Fabrikant","Materiaal","Projectie","Lichtbron","Afmeting","Beschrijving","operationeel","Conditie","Foto"
"","Toverlantaarn","","Enkelvoudige","","","","","","","","","","","",""
"","","speelgoed of kinderlantaarn","biunials","","","","","koektrommel lantaarn","","batterijverlichting","","","ja","",""
"","","huiskamer lantaarn","triunial","","","","","keramische lantaarn","","kaars","","","nee","",""
"","","grote of instituut lantaarn","episcoop","","","","","Mahonihouten","","gas","","","","",""
"","","meervoudige lantaarn","epidiascoop","","","","","Blik","","vlamboog","","","","",""
"","","fantasie lantaarn","filmstrip lantaarn","","","","","Messing","","gloeilamp","","","","",""
"","","bijzondere lantaarn","poppenhuis lantaarn","","","","","","","Koolspitsen","","","","",""
"","","","Mickey Mouse","","","","","","","Olielamp","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Lantaarnplaat","","","","","","","","","","","","","",""
"","","Bijbel","Bewegende","Draai/schuif/enkelvoudig/meervoudig","","","","Glas handbeschilderd","","","","","","",""
"","","Sprookje/sage","Serie","","","","","Glas  fotografisch","","","","","","",""
"","","Geografie","Langwerpig","maten/panorama/beeldjes","","","","Glas in houten frame","","","","","","",""
"","","Maatschappij","Enkelvoudig","","","","","Houten frame met draaimechaniek","","","","","","",""
"","","Live models","Caleidoscoop","","","","","Houten frame met schuifmechaniek","","","","","","",""
"","","","vierkant 8.3x8.3","","","","","Kunststof ","","","","","","",""
"","","","Amerikaans formaat","","","","","Decalcomanie","","","","","","",""
"","","","Frans formaat","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Lichtbron","Kaars","","","","","","","","","","","","",""
"","","Oliebrander","Arman","","","","","","","","","","","",""
"","","","Enkelvoudige lont","","","","","","","","","","","",""
"","","","Meervoudige lonten","","","","","","","","","","","",""
"","","Kalk of Lime light","","","","","","","","","","","","",""
"","","Brandspititus","","","","","","","","","","","","",""
"","","Saturator","","","","","","","","","","","","",""
"","","Oxyhydride","","","","","","","","","","","","",""
"","","Acetyleen","","","","","","","","","","","","",""
"","","Koolspitsen","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Diversen","Sets om zelf plaatjes te maken","","","","","","","","","","","","",""
"","","verpakkingen","","","","","","","","","","","","",""
"","","Etiketten","","","","","","","","","","","","",""
"","","Boeken","","","","","","","","","","","","",""
"","","Ansichtkaart","","","","","","","","","","","","",""
"","","Prenten","","","","","","","","","","","","",""
